Bliss	Blissymbols; Blissymbolics; Bliss	symboles Bliss; Bliss	zbl	 
Blissymbolics	Blissymbols; Blissymbolics; Bliss	symboles Bliss; Bliss	zbl	 
Blissymbols	Blissymbols; Blissymbolics; Bliss	symboles Bliss; Bliss	zbl	 
Bokmål, Norwegian	Bokmål, Norwegian; Norwegian Bokmål	norvégien bokmål	nob	nb
Bosnian	Bosnian	bosniaque	bos	bs
Braj	Braj	braj	bra	 
Breton	Breton	breton	bre	br
Buginese	Buginese	bugi	bug	 
Bulgarian	Bulgarian	bulgare	bul	bg
Buriat	Buriat	bouriate	bua	 
Burmese	Burmese	birman	bur/mya	my
Caddo	Caddo	caddo	cad	 
Castilian	Spanish; Castilian	espagnol; castillan	spa	es
Catalan	Catalan; Valencian	catalan; valencien	cat	ca
Caucasian languages	Caucasian languages	caucasiennes, langues	cau	 
Cebuano	Cebuano	cebuano	ceb	 
Celtic languages	Celtic languages	celtiques, langues; celtes, langues	cel	 
Central American Indian languages	Central American Indian languages	amérindiennes de l'Amérique centrale, langues	cai	 
Central Khmer	Central Khmer	khmer central	khm	km
Chagatai	Chagatai	djaghataï	chg	 
Chamic languages	Chamic languages	chames, langues	cmc	 
Chamorro	Chamorro	chamorro	cha	ch
Chechen	Chechen	tchétchène	che	ce
Cherokee	Cherokee	cherokee	chr	 
Chewa	Chichewa; Chewa; Nyanja	chichewa; chewa; nyanja	nya	ny
Cheyenne	Cheyenne	cheyenne	chy	 
Chibcha	Chibcha	chibcha	chb	 
Chichewa	Chichewa; Chewa; Nyanja	chichewa; chewa; nyanja	nya	ny
Chinese	Chinese	chinois	chi/zho	zh
Chinook jargon	Chinook jargon	chinook, jargon	chn	 
Chipewyan	Chipewyan; Dene Suline	chipewyan	chp	 
Choctaw	Choctaw	choctaw	cho	 
Chuang	Zhuang; Chuang	zhuang; chuang	zha	za
Church Slavic	Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic	slavon d'église; vieux slave; slavon liturgique; vieux bulgare	chu	cu
Church Slavonic	Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic	slavon d'église; vieux slave; slavon liturgique; vieux bulgare	chu	cu
Chuukese	Chuukese	chuuk	chk	 
Chuvash	Chuvash	tchouvache	chv	cv
Classical Nepal Bhasa	Classical Newari; Old Newari; Classical Nepal Bhasa	newari classique	nwc	 
Classical Newari	Classical Newari; Old Newari; Classical Nepal Bhasa	newari classique	nwc	 
Classical Syriac	Classical Syriac	syriaque classique	syc	 
Cook Islands Maori	Rarotongan; Cook Islands Maori	rarotonga; maori des îles Cook	rar	 
Coptic	Coptic	copte	cop	 
Cornish	Cornish	cornique	cor	kw
Corsican	Corsican	corse	cos	co
Cree	Cree	cree	cre	cr
Creek	Creek	muskogee	mus	 
Creoles and pidgins	Creoles and pidgins	créoles et pidgins	crp	 
Creoles and pidgins, English based	Creoles and pidgins, English based	créoles et pidgins basés sur l'anglais	cpe	 
Creoles and pidgins, French-based	Creoles and pidgins, French-based	créoles et pidgins basés sur le français	cpf	 
Creoles and pidgins, Portuguese-based	Creoles and pidgins, Portuguese-based	créoles et pidgins basés sur le portugais	cpp	 
Crimean Tatar	Crimean Tatar; Crimean Turkish	tatar de Crimé	crh	 
Crimean Turkish	Crimean Tatar; Crimean Turkish	tatar de Crimé	crh	 
Croatian	Croatian	croate	hrv	hr
Cushitic languages	Cushitic languages	couchitiques, langues	cus	 
Czech	Czech	tchèque	cze/ces	cs
Dakota	Dakota	dakota	dak	 
Danish	Danish	danois	dan	da
Dargwa	Dargwa	dargwa	dar	 
Delaware	Delaware	delaware	del	 
Dene Suline	Chipewyan; Dene Suline	chipewyan	chp	 
Dhivehi	Divehi; Dhivehi; Maldivian	maldivien	div	dv
Dimili	Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki	zaza; dimili; dimli; kirdki; kirmanjki; zazaki	zza	 
Dimli	Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki	zaza; dimili; dimli; kirdki; kirmanjki; zazaki	zza	 
Dinka	Dinka	dinka	din	 
Divehi	Divehi; Dhivehi; Maldivian	maldivien	div	dv
Dogri	Dogri	dogri	doi	 
Dogrib	Dogrib	dogrib	dgr	 
Dravidian languages	Dravidian languages	dravidiennes, langues	dra	 
Duala	Duala	douala	dua	 
Dutch	Dutch; Flemish	néerlandais; flamand	dut/nld	nl
Dutch, Middle (ca.1050-1350)	Dutch, Middle (ca.1050-1350)	néerlandais moyen (ca. 1050-1350)	dum	 
Dyula	Dyula	dioula	dyu	 
Dzongkha	Dzongkha	dzongkha	dzo	dz
Eastern Frisian	Eastern Frisian	frison oriental	frs	 
Edo	Bini; Edo	bini; edo	bin	 
Efik	Efik	efik	efi	 
Egyptian (Ancient)	Egyptian (Ancient)	égyptien	egy	 
Ekajuk	Ekajuk	ekajuk	eka	 
Elamite	Elamite	élamite	elx	 
English	English	anglais	eng	en
English, Middle (1100-1500)	English, Middle (1100-1500)	anglais moyen (1100-1500)	enm	 
English, Old (ca.450-1100)	English, Old (ca.450-1100)	anglo-saxon (ca.450-1100)	ang	 
Erzya	Erzya	erza	myv	 
Esperanto	Esperanto	espéranto	epo	eo
Estonian	Estonian	estonien	est	et
Ewe	Ewe	éwé	ewe	ee
Ewondo	Ewondo	éwondo	ewo	 
Fang	Fang	fang	fan	 
Fanti	Fanti	fanti	fat	 
Faroese	Faroese	féroïen	fao	fo
Fijian	Fijian	fidjien	fij	fj
Filipino	Filipino; Pilipino	filipino; pilipino	fil	 
Finnish	Finnish	finnois	fin	fi
Finno-Ugrian languages	Finno-Ugrian languages	finno-ougriennes, langues	fiu	 
Flemish	Dutch; Flemish	néerlandais; flamand	dut/nld	nl
Fon	Fon	fon	fon	 
French	French	français	fre/fra	fr
French, Middle (ca.1400-1600)	French, Middle (ca.1400-1600)	français moyen (1400-1600)	frm	 
French, Old (842-ca.1400)	French, Old (842-ca.1400)	français ancien (842-ca.1400)	fro	 
Friulian	Friulian	frioulan	fur	 
Fulah	Fulah	peul	ful	ff
Ga	Ga	ga	gaa	 
Gaelic	Gaelic; Scottish Gaelic	gaélique; gaélique écossais	gla	gd
Galibi Carib	Galibi Carib	karib; galibi; carib	car	 
Galician	Galician	galicien	glg	gl
Ganda	Ganda	ganda	lug	lg
Gayo	Gayo	gayo	gay	 
Gbaya	Gbaya	gbaya	gba	 
Geez	Geez	guèze	gez	 
Georgian	Georgian	géorgien	geo/kat	ka
German	German	allemand	ger/deu	de
German, Low	Low German; Low Saxon; German, Low; Saxon, Low	bas allemand; bas saxon; allemand, bas; saxon, bas	nds	 
German, Middle High (ca.1050-1500)	German, Middle High (ca.1050-1500)	allemand, moyen haut (ca. 1050-1500)	gmh	 
German, Old High (ca.750-1050)	German, Old High (ca.750-1050)	allemand, vieux haut (ca. 750-1050)	goh	 
Germanic languages	Germanic languages	germaniques, langues	gem	 
Gikuyu	Kikuyu; Gikuyu	kikuyu	kik	ki
Gilbertese	Gilbertese	kiribati	gil	 
Gondi	Gondi	gond	gon	 
Gorontalo	Gorontalo	gorontalo	gor	 
Gothic	Gothic	gothique	got	 
Grebo	Grebo	grebo	grb	 
Greek, Ancient (to 1453)	Greek, Ancient (to 1453)	grec ancien (jusqu'à 1453)	grc	 
Greek, Modern (1453-)	Greek, Modern (1453-)	grec moderne (après 1453)	gre/ell	el
Greenlandic	Kalaallisut; Greenlandic	groenlandais	kal	kl
Guarani	Guarani	guarani	grn	gn
Gujarati	Gujarati	goudjrati	guj	gu
Gwich'in	Gwich'in	gwich'in	gwi	 
Haida	Haida	haida	hai	 
Haitian	Haitian; Haitian Creole	haïtien; créole haïtien	hat	ht
Haitian Creole	Haitian; Haitian Creole	haïtien; créole haïtien	hat	ht
Hausa	Hausa	haoussa	hau	ha
Hawaiian	Hawaiian	hawaïen	haw	 
Hebrew	Hebrew	hébreu	heb	he
Herero	Herero	herero	her	hz
Hiligaynon	Hiligaynon	hiligaynon	hil	 
Himachali languages	Himachali languages; Western Pahari languages	langues himachalis; langues paharis occidentales	him	 
Hindi	Hindi	hindi	hin	hi
Hiri Motu	Hiri Motu	hiri motu	hmo	ho
Hittite	Hittite	hittite	hit	 
Hmong	Hmong; Mong	hmong	hmn	 
Hungarian	Hungarian	hongrois	hun	hu
Hupa	Hupa	hupa	hup	 
Iban	Iban	iban	iba	 
Icelandic	Icelandic	islandais	ice/isl	is
Ido	Ido	ido	ido	io
Igbo	Igbo	igbo	ibo	ig
Ijo languages	Ijo languages	ijo, langues	ijo	 
Iloko	Iloko	ilocano	ilo	 
Imperial Aramaic (700-300 BCE)	Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE)	araméen d'empire (700-300 BCE)	arc	 
Inari Sami	Inari Sami	sami d'Inari	smn	 
Indic languages	Indic languages	indo-aryennes, langues	inc	 
Indo-European languages	Indo-European languages	indo-européennes, langues	ine	 
Indonesian	Indonesian	indonésien	ind	id
Ingush	Ingush	ingouche	inh	 
Interlingua (International Auxiliary Language Association)	Interlingua (International Auxiliary Language Association)	interlingua (langue auxiliaire internationale)	ina	ia
Interlingue	Interlingue; Occidental	interlingue	ile	ie
Inuktitut	Inuktitut	inuktitut	iku	iu
Inupiaq	Inupiaq	inupiaq	ipk	ik
Iranian languages	Iranian languages	iraniennes, langues	ira	 
Irish	Irish	irlandais	gle	ga
Irish, Middle (900-1200)	Irish, Middle (900-1200)	irlandais moyen (900-1200)	mga	 
Irish, Old (to 900)	Irish, Old (to 900)	irlandais ancien (jusqu'à 900)	sga	 
Iroquoian languages	Iroquoian languages	iroquoises, langues	iro	 
Italian	Italian	italien	ita	it
Japanese	Japanese	japonais	jpn	ja
Javanese	Javanese	javanais	jav	jv
Jingpho	Kachin; Jingpho	kachin; jingpho	kac	 
Judeo-Arabic	Judeo-Arabic	judéo-arabe	jrb	 
Judeo-Persian	Judeo-Persian	judéo-persan	jpr	 
Kabardian	Kabardian	kabardien	kbd	 
Kabyle	Kabyle	kabyle	kab	 
Kachin	Kachin; Jingpho	kachin; jingpho	kac	 
Kalaallisut	Kalaallisut; Greenlandic	groenlandais	kal	kl
Kalmyk	Kalmyk; Oirat	kalmouk; oïrat	xal	 
Kamba	Kamba	kamba	kam	 
Kannada	Kannada	kannada	kan	kn
Kanuri	Kanuri	kanouri	kau	kr
Kapampangan	Pampanga; Kapampangan	pampangan	pam	 
Kara-Kalpak	Kara-Kalpak	karakalpak	kaa	 
Karachay-Balkar	Karachay-Balkar	karatchai balkar	krc	 
Karelian	Karelian	carélien	krl	 
Karen languages	Karen languages	karen, langues	kar	 
Kashmiri	Kashmiri	kashmiri	kas	ks
Kashubian	Kashubian	kachoube	csb	 
Kawi	Kawi	kawi	kaw	 
Kazakh	Kazakh	kazakh	kaz	kk
Khasi	Khasi	khasi	kha	 
Khoisan languages	Khoisan languages	khoïsan, langues	khi	 
Khotanese	Khotanese; Sakan	khotanais; sakan	kho	 
Kikuyu	Kikuyu; Gikuyu	kikuyu	kik	ki
Kimbundu	Kimbundu	kimbundu	kmb	 
Kinyarwanda	Kinyarwanda	rwanda	kin	rw
Kirdki	Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki	zaza; dimili; dimli; kirdki; kirmanjki; zazaki	zza	 
Kirghiz	Kirghiz; Kyrgyz	kirghiz	kir	ky
Kirmanjki	Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki	zaza; dimili; dimli; kirdki; kirmanjki; zazaki	zza	 
Klingon	Klingon; tlhIngan-Hol	klingon	tlh	 
Komi	Komi	kom	kom	kv
Kongo	Kongo	kongo	kon	kg
Konkani	Konkani	konkani	kok	 
Korean	Korean	coréen	kor	ko
Kosraean	Kosraean	kosrae	kos	 
Kpelle	Kpelle	kpellé	kpe	 
Kru languages	Kru languages	krou, langues	kro	 
Kuanyama	Kuanyama; Kwanyama	kuanyama; kwanyama	kua	kj
Kumyk	Kumyk	koumyk	kum	 
Kurdish	Kurdish	kurde	kur	ku
Kurukh	Kurukh	kurukh	kru	 
Kutenai	Kutenai	kutenai	kut	 
Kwanyama	Kuanyama; Kwanyama	kuanyama; kwanyama	kua	kj
Kyrgyz	Kirghiz; Kyrgyz	kirghiz	kir	ky
Ladino	Ladino	judéo-espagnol	lad	 
Lahnda	Lahnda	lahnda	lah	 
Lamba	Lamba	lamba	lam	 
Land Dayak languages	Land Dayak languages	dayak, langues	day	 
Lao	Lao	lao	lao	lo
Latin	Latin	latin	lat	la
Latvian	Latvian	letton	lav	lv
Leonese	Asturian; Bable; Leonese; Asturleonese	asturien; bable; léonais; asturoléonais	ast	 
Letzeburgesch	Luxembourgish; Letzeburgesch	luxembourgeois	ltz	lb
Lezghian	Lezghian	lezghien	lez	 
Limburgan	Limburgan; Limburger; Limburgish	limbourgeois	lim	li
Limburger	Limburgan; Limburger; Limburgish	limbourgeois	lim	li
Limburgish	Limburgan; Limburger; Limburgish	limbourgeois	lim	li
Lingala	Lingala	lingala	lin	ln
Lithuanian	Lithuanian	lituanien	lit	lt
Lojban	Lojban	lojban	jbo	 
Low German	Low German; Low Saxon; German, Low; Saxon, Low	bas allemand; bas saxon; allemand, bas; saxon, bas	nds	 
Low Saxon	Low German; Low Saxon; German, Low; Saxon, Low	bas allemand; bas saxon; allemand, bas; saxon, bas	nds	 
Lower Sorbian	Lower Sorbian	bas-sorabe	dsb	 
Lozi	Lozi	lozi	loz	 
Luba-Katanga	Luba-Katanga	luba-katanga	lub	lu
Luba-Lulua	Luba-Lulua	luba-lulua	lua	 
Luiseno	Luiseno	luiseno	lui	 
Lule Sami	Lule Sami	sami de Lule	smj	 
Lunda	Lunda	lunda	lun	 
Luo (Kenya and Tanzania)	Luo (Kenya and Tanzania)	luo (Kenya et Tanzanie)	luo	 
Lushai	Lushai	lushai	lus	 
Luxembourgish	Luxembourgish; Letzeburgesch	luxembourgeois	ltz	lb
Macedo-Romanian	Aromanian; Arumanian; Macedo-Romanian	aroumain; macédo-roumain	rup	 
Macedonian	Macedonian	macédonien	mac/mkd	mk
Madurese	Madurese	madourais	mad	 
Magahi	Magahi	magahi	mag	 
Maithili	Maithili	maithili	mai	 
Makasar	Makasar	makassar	mak	 
Malagasy	Malagasy	malgache	mlg	mg
Malay	Malay	malais	may/msa	ms
Malayalam	Malayalam	malayalam	mal	ml
Maldivian	Divehi; Dhivehi; Maldivian	maldivien	div	dv
Maltese	Maltese	maltais	mlt	mt
Manchu	Manchu	mandchou	mnc	 
Mandar	Mandar	mandar	mdr	 
Mandingo	Mandingo	mandingue	man	 
Manipuri	Manipuri	manipuri	mni	 
Manobo languages	Manobo languages	manobo, langues	mno	 
Manx	Manx	manx; mannois	glv	gv
Maori	Maori	maori	mao/mri	mi
Mapuche	Mapudungun; Mapuche	mapudungun; mapuche; mapuce	arn	 
Mapudungun	Mapudungun; Mapuche	mapudungun; mapuche; mapuce	arn	 
Marathi	Marathi	marathe	mar	mr
Mari	Mari	mari	chm	 
Marshallese	Marshallese	marshall	mah	mh
Marwari	Marwari	marvari	mwr	 
Masai	Masai	massaï	mas	 
Mayan languages	Mayan languages	maya, langues	myn	 
Mende	Mende	mendé	men	 
Mi'kmaq	Mi'kmaq; Micmac	mi'kmaq; micmac	mic	 
Micmac	Mi'kmaq; Micmac	mi'kmaq; micmac	mic	 
Minangkabau	Minangkabau	minangkabau	min	 
Mirandese	Mirandese	mirandais	mwl	 
Mohawk	Mohawk	mohawk	moh	 
Moksha	Moksha	moksa	mdf	 
Moldavian	Romanian; Moldavian; Moldovan	roumain; moldave	rum/ron	ro
Moldovan	Romanian; Moldavian; Moldovan	roumain; moldave	rum/ron	ro
Mon-Khmer languages	Mon-Khmer languages	môn-khmer, langues	mkh	 
Mong	Hmong; Mong	hmong	hmn	 
Mongo	Mongo	mongo	lol	 
Mongolian	Mongolian	mongol	mon	mn
Montenegrin	Montenegrin	monténégrin	cnr	 
Mossi	Mossi	moré	mos	 
Multiple languages	Multiple languages	multilingue	mul	 
Munda languages	Munda languages	mounda, langues	mun	 
N'Ko	N'Ko	n'ko	nqo	 
Nahuatl languages	Nahuatl languages	nahuatl, langues	nah	 
Nauru	Nauru	nauruan	nau	na
Navaho	Navajo; Navaho	navaho	nav	nv
Navajo	Navajo; Navaho	navaho	nav	nv
Ndebele, North	Ndebele, North; North Ndebele	ndébélé du Nord	nde	nd
Ndebele, South	Ndebele, South; South Ndebele	ndébélé du Sud	nbl	nr
Ndonga	Ndonga	ndonga	ndo	ng
Neapolitan	Neapolitan	napolitain	nap	 
Nepal Bhasa	Nepal Bhasa; Newari	nepal bhasa; newari	new	 
Nepali	Nepali	népalais	nep	ne
Newari	Nepal Bhasa; Newari	nepal bhasa; newari	new	 
Nias	Nias	nias	nia	 
Niger-Kordofanian languages	Niger-Kordofanian languages	nigéro-kordofaniennes, langues	nic	 
Nilo-Saharan languages	Nilo-Saharan languages	nilo-sahariennes, langues	ssa	 
Niuean	Niuean	niué	niu	 
No linguistic content	No linguistic content; Not applicable	pas de contenu linguistique; non applicable	zxx	 
Nogai	Nogai	nogaï; nogay	nog	 
Norse, Old	Norse, Old	norrois, vieux	non	 
North American Indian languages	North American Indian languages	nord-amérindiennes, langues	nai	 
North Ndebele	Ndebele, North; North Ndebele	ndébélé du Nord	nde	nd
Northern Frisian	Northern Frisian	frison septentrional	frr	 
Northern Sami	Northern Sami	sami du Nord	sme	se
Northern Sotho	Pedi; Sepedi; Northern Sotho	pedi; sepedi; sotho du Nord	nso	 
Norwegian	Norwegian	norvégien	nor	no
Norwegian Bokmål	Bokmål, Norwegian; Norwegian Bokmål	norvégien bokmål	nob	nb
Norwegian Nynorsk	Norwegian Nynorsk; Nynorsk, Norwegian	norvégien nynorsk; nynorsk, norvégien	nno	nn
Not applicable	No linguistic content; Not applicable	pas de contenu linguistique; non applicable	zxx	 
Nubian languages	Nubian languages	nubiennes, langues	nub	 
Nuosu	Sichuan Yi; Nuosu	yi de Sichuan	iii	ii
Nyamwezi	Nyamwezi	nyamwezi	nym	 
Nyanja	Chichewa; Chewa; Nyanja	chichewa; chewa; nyanja	nya	ny
Nyankole	Nyankole	nyankolé	nyn	 
Nynorsk, Norwegian	Norwegian Nynorsk; Nynorsk, Norwegian	norvégien nynorsk; nynorsk, norvégien	nno	nn
Nyoro	Nyoro	nyoro	nyo	 
Nzima	Nzima	nzema	nzi	 
Occidental	Interlingue; Occidental	interlingue	ile	ie
Occitan (post 1500)	Occitan (post 1500)	occitan (après 1500)	oci	oc
Occitan, Old (to 1500)	Provençal, Old (to 1500);Occitan, Old (to 1500)	provençal ancien (jusqu'à 1500); occitan ancien (jusqu'à 1500)	pro	 
Official Aramaic (700-300 BCE)	Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE)	araméen d'empire (700-300 BCE)	arc	 
Oirat	Kalmyk; Oirat	kalmouk; oïrat	xal	 
Ojibwa	Ojibwa	ojibwa	oji	oj
Old Bulgarian	Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic	slavon d'église; vieux slave; slavon liturgique; vieux bulgare	chu	cu
Old Church Slavonic	Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic	slavon d'église; vieux slave; slavon liturgique; vieux bulgare	chu	cu
Old Newari	Classical Newari; Old Newari; Classical Nepal Bhasa	newari classique	nwc	 
Old Slavonic	Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic	slavon d'église; vieux slave; slavon liturgique; vieux bulgare	chu	cu
Oriya	Oriya	oriya	ori	or
Oromo	Oromo	galla	orm	om
Osage	Osage	osage	osa	 
Ossetian	Ossetian; Ossetic	ossète	oss	os
Ossetic	Ossetian; Ossetic	ossète	oss	os
Otomian languages	Otomian languages	otomi, langues	oto	 
Pahlavi	Pahlavi	pahlavi	pal	 
Palauan	Palauan	palau	pau	 
Pali	Pali	pali	pli	pi
Pampanga	Pampanga; Kapampangan	pampangan	pam	 
Pangasinan	Pangasinan	pangasinan	pag	 
Panjabi	Panjabi; Punjabi	pendjabi	pan	pa
Papiamento	Papiamento	papiamento	pap	 
Papuan languages	Papuan languages	papoues, langues	paa	 
Pashto	Pushto; Pashto	pachto	pus	ps
Pedi	Pedi; Sepedi; Northern Sotho	pedi; sepedi; sotho du Nord	nso	 
Persian	Persian	persan	per/fas	fa
Persian, Old (ca.600-400 B.C.)	Persian, Old (ca.600-400 B.C.)	perse, vieux (ca. 600-400 av. J.-C.)	peo	 
Philippine languages	Philippine languages	philippines, langues	phi	 
Phoenician	Phoenician	phénicien	phn	 
Pilipino	Filipino; Pilipino	filipino; pilipino	fil	 
Pohnpeian	Pohnpeian	pohnpei	pon	 
Polish	Polish	polonais	pol	pl
Portuguese	Portuguese	portugais	por	pt
Prakrit languages	Prakrit languages	prâkrit, langues	pra	 
Provençal, Old (to 1500)	Provençal, Old (to 1500);Occitan, Old (to 1500)	provençal ancien (jusqu'à 1500); occitan ancien (jusqu'à 1500)	pro	 
Punjabi	Panjabi; Punjabi	pendjabi	pan	pa
Pushto	Pushto; Pashto	pachto	pus	ps
Quechua	Quechua	quechua	que	qu
Rajasthani	Rajasthani	rajasthani	raj	 
Rapanui	Rapanui	rapanui	rap	 
Rarotongan	Rarotongan; Cook Islands Maori	rarotonga; maori des îles Cook	rar	 
Reserved for local use	Reserved for local use	réservée à l'usage local	qaa-qtz	 
Romance languages	Romance languages	romanes, langues	roa	 
Romanian	Romanian; Moldavian; Moldovan	roumain; moldave	rum/ron	ro
Romansh	Romansh	romanche	roh	rm
Romany	Romany	tsigane	rom	 
Rundi	Rundi	rundi	run	rn
Russian	Russian	russe	rus	ru
Sakan	Khotanese; Sakan	khotanais; sakan	kho	 
Salishan languages	Salishan languages	salishennes, langues	sal	 
Samaritan Aramaic	Samaritan Aramaic	samaritain	sam	 
Sami languages	Sami languages	sames, langues	smi	 
Samoan	Samoan	samoan	smo	sm
Sandawe	Sandawe	sandawe	sad	 
Sango	Sango	sango	sag	sg
Sanskrit	Sanskrit	sanskrit	san	sa
Santali	Santali	santal	sat	 
Sardinian	Sardinian	sarde	srd	sc
Sasak	Sasak	sasak	sas	 
Saxon, Low	Low German; Low Saxon; German, Low; Saxon, Low	bas allemand; bas saxon; allemand, bas; saxon, bas	nds	 
Scots	Scots	écossais	sco	 
Scottish Gaelic	Gaelic; Scottish Gaelic	gaélique; gaélique écossais	gla	gd
Selkup	Selkup	selkoupe	sel	 
Semitic languages	Semitic languages	sémitiques, langues	sem	 
Sepedi	Pedi; Sepedi; Northern Sotho	pedi; sepedi; sotho du Nord	nso	 
Serbian	Serbian	serbe	srp	sr
Serer	Serer	sérère	srr	 
Shan	Shan	chan	shn	 
Shona	Shona	shona	sna	sn
Sichuan Yi	Sichuan Yi; Nuosu	yi de Sichuan	iii	ii
Sicilian	Sicilian	sicilien	scn	 
Sidamo	Sidamo	sidamo	sid	 
Sign Languages	Sign Languages	langues des signes	sgn	 
Siksika	Siksika	blackfoot	bla	 
Sindhi	Sindhi	sindhi	snd	sd
Sinhala	Sinhala; Sinhalese	singhalais	sin	si
Sinhalese	Sinhala; Sinhalese	singhalais	sin	si
Sino-Tibetan languages	Sino-Tibetan languages	sino-tibétaines, langues	sit	 
Siouan languages	Siouan languages	sioux, langues	sio	 
Skolt Sami	Skolt Sami	sami skolt	sms	 
Slave (Athapascan)	Slave (Athapascan)	esclave (athapascan)	den	 
Slavic languages	Slavic languages	slaves, langues	sla	 
Slovak	Slovak	slovaque	slo/slk	sk
Slovenian	Slovenian	slovène	slv	sl
Sogdian	Sogdian	sogdien	sog	 
Somali	Somali	somali	som	so
Songhai languages	Songhai languages	songhai, langues	son	 
Soninke	Soninke	soninké	snk	 
Sorbian languages	Sorbian languages	sorabes, langues	wen	 
Sotho, Northern	Pedi; Sepedi; Northern Sotho	pedi; sepedi; sotho du Nord	nso	 
Sotho, Southern	Sotho, Southern	sotho du Sud	sot	st
South American Indian languages	South American Indian languages	sud-amérindiennes, langues	sai	 
South Ndebele	Ndebele, South; South Ndebele	ndébélé du Sud	nbl	nr
Southern Altai	Southern Altai	altai du Sud	alt	 
Southern Sami	Southern Sami	sami du Sud	sma	 
Spanish	Spanish; Castilian	espagnol; castillan	spa	es
Sranan Tongo	Sranan Tongo	sranan tongo	srn	 
Standard Moroccan Tamazight	Standard Moroccan Tamazight	amazighe standard marocain	zgh	 
